"","zip_code","location","population","people_sq_mile"
"1","02113","42.365170, -71.055363",6401,60728.26
"2","02115","42.337545, -71.106173",25486,30823.24
"3","02116","42.349991, -71.076080",19682,26352.26
"4","02215","42.347053, -71.101985",21963,25125.73
"5","02144","42.399655, -71.122550",25058,23099.7
"6","02446","42.343503, -71.122248",29555,22035.6
"7","02139","42.362288, -71.103791",34682,21628.72
"8","02118","42.337863, -71.070816",22173,20902.06
"9","02109","42.362653, -71.053804",3428,20752.98
"10","02114","42.363175, -71.068646",10868,19975.48
"11","02121","42.307434, -71.083022",25057,19592.25
"12","02141","42.370300, -71.082560",12041,19289.4
"13","02120","42.332424, -71.095750",10842,18116.78
"14","02145","42.391577, -71.089910",26887,18021.98
"15","01902","42.470180, -70.940915",47601,17938.82
"16","02199","42.347465, -71.082058",1005,17390.25
"17","02143","42.381572, -71.096995",25095,16218.68
"18","02124","42.285922, -71.075046",50781,16127.9
"19","02111","42.348784, -71.058988",5138,15967.11
"20","02150","42.396690, -71.032723",35080,15759.34
"21","02134","42.358786, -71.129581",21389,15139.35
"22","02140","42.392157, -71.133996",17003,14881.84
"23","02119","42.323881, -71.085332",23823,14856.36
"24","02135","42.348417, -71.154339",43887,14809.88
"25","02122","42.295088, -71.052533",24548,14350.84
"26","01841","42.712015, -71.164873",44038,14234.49
"27","02126","42.274856, -71.092908",27815,13523.15
"28","02127","42.336004, -71.038695",29456,13233.61
"29","01718","42.520314, -71.427867",420,12732.57
"30","02108","42.357554, -71.063913",3446,12377.16
"31","02138","42.379637, -71.135152",35407,11341.73
"32","02129","42.378843, -71.063821",15195,11130.85
"33","02125","42.320300, -71.045904",33618,11016.97
"34","02148","42.430140, -71.057694",56340,11005.14
"35","01850","42.656045, -71.303309",15808,10592.52
"36","02131","42.283021, -71.125027",32527,10592.04
"37","02149","42.405938, -71.054649",38037,10360.53
"38","02170","42.265480, -71.017144",19373,9923.31
"39","01610","42.244675, -71.809543",23773,9907.95
"40","02723","41.692208, -71.132132",15992,9875.06
"41","01105","42.101795, -72.577560",13138,9769.31
"42","01840","42.707232, -71.160459",4732,9473.3
"43","02724","41.683936, -71.177500",17433,9428.33
"44","01107","42.120751, -72.606808",11333,9082.76
"45","02163","42.366168, -71.122850",1191,8842.92
"46","02110","42.357371, -71.053180",1428,8630.93
"47","01851","42.627958, -71.336033",29631,8433.3
"48","02744","41.609068, -70.914984",11710,8414.68
"49","02152","42.354065, -70.962391",18303,8299.77
"50","02222","42.366470, -71.062494",246,8179.32
"51","02130","42.307277, -71.114055",36293,7993.43
"52","02472","42.369451, -71.177925",32986,7935.76
"53","02151","42.418278, -71.005085",47283,7922.84
"54","02474","42.420949, -71.156370",25496,7841.14
"55","02740","41.638582, -70.942865",43391,7658.44
"56","02453","42.369542, -71.240513",29119,7543.79
"57","02128","42.361129, -71.006976",38413,7504.84
"58","01108","42.082117, -72.556608",25828,7502.76
"59","02476","42.415637, -71.175670",16866,7395.95
"60","01103","42.104011, -72.591538",2661,7193.25
"61","01608","42.262294, -71.801144",3195,7118.26
"62","01843","42.689364, -71.159947",23189,6800.75
"63","02721","41.680516, -71.154390",26376,6779.07
"64","02458","42.354115, -71.189130",12150,6602.43
"65","02171","42.286150, -71.025943",16458,6507.48
"66","02155","42.423844, -71.109231",56203,6449.56
"67","02460","42.352006, -71.209242",9143,6448.37
"68","02746","41.662054, -70.942962",14742,6402.9
"69","01852","42.631849, -71.295785",32941,6304.51
"70","01854","42.649540, -71.344927",26787,6219.51
"71","02136","42.255083, -71.129220",28392,6048.39
"72","01905","42.469172, -70.979224",23573,5977.54
"73","02176","42.455723, -71.059019",27134,5713.95
"74","01109","42.117824, -72.550129",30655,5622.97
"75","02465","42.349533, -71.227339",11316,5541.31
"76","02132","42.280905, -71.163965",24058,5203.6
"77","01603","42.240937, -71.836682",17467,5191.14
"78","02478","42.395667, -71.183078",24158,5148.11
"79","02464","42.312975, -71.218882",2936,5147.71
"80","02461","42.319031, -71.208169",6344,5014.13
"81","01970","42.511503, -70.904299",40407,4956.29
"82","02445","42.314586, -71.153039",26262,4944.41
"83","01609","42.284374, -71.830726",21166,4914.1
"84","02467","42.322089, -71.172760",11078,4896.38
"85","02301","42.078371, -71.042304",61737,4880.11
"86","01907","42.475894, -70.908532",14412,4722.9
"87","01604","42.249594, -71.768910",33731,4717.94
"88","02169","42.242211, -71.016335",52194,4692.8
"89","01945","42.499806, -70.863580",20377,4588.99
"90","01605","42.287873, -71.786874",24293,4433.92
"91","01702","42.282104, -71.433224",35984,4077.52
"92","01013","42.161913, -72.602141",23148,3944.8
"93","01118","42.094084, -72.523531",14271,3889.75
"94","01104","42.133595, -72.568253",22383,3847.55
"95","02045","42.286478, -70.880226",11050,3717.66
"96","02466","42.344457, -71.248617",7030,3705.55
"97","01904","42.490743, -70.970914",17818,3676.64
"98","02459","42.314292, -71.194611",17856,3654.33
"99","01119","42.124978, -72.511210",13329,3653.99
"100","02188","42.204578, -70.957749",14493,3646.38
"101","02302","42.088123, -70.998293",32567,3644.72
"102","02191","42.241974, -70.935556",8704,3622.52
"103","02142","42.361280, -71.083753",2258,3585.63
"104","02468","42.329175, -71.231583",5738,3556.65
"105","02189","42.207403, -70.932728",14893,3486.74
"106","01908","42.427383, -70.924375",3632,3440.46
"107","01151","42.154810, -72.510255",8311,3379.26
"108","02452","42.392073, -71.218443",12457,3344.35
"109","01602","42.271396, -71.851229",23141,3312.98
"110","02180","42.474208, -71.097665",22214,3310.76
"111","01890","42.451818, -71.146557",20810,3308.85
"112","01607","42.225158, -71.790820",7273,3290.86
"113","01606","42.315886, -71.792982",19911,3214.07
"114","01731","42.457959, -71.279168",2933,3204.88
"115","01880","42.504360, -71.064061",24809,3131.6
"116","02368","42.176446, -71.051567",31170,2925.7
"117","01801","42.488659, -71.154425",37258,2879.37
"118","01960","42.534202, -70.969734",48129,2867.92
"119","02462","42.330509, -71.259187",1528,2826.57
"120","02451","42.401527, -71.253004",17650,2809.81
"121","01128","42.092296, -72.489135",2993,2785.25
"122","02726","41.759700, -71.144592",15553,2704.24
"123","02062","42.187389, -71.192477",28587,2686.14
"124","02720","41.727408, -71.114973",31554,2667.89
"125","02494","42.296994, -71.225700",8994,2581.58
"126","02482","42.292668, -71.298727",12445,2564.69
"127","02481","42.308960, -71.266894",14168,2513.3
"128","01020","42.172698, -72.561835",29174,2401.67
"129","01867","42.535183, -71.105423",23708,2370.39
"130","01915","42.566024, -70.857662",39862,2364
"131","02184","42.205416, -71.002168",33828,2306.56
"132","01906","42.470985, -71.018689",26136,2292.28
"133","01510","42.414983, -71.684869",13435,2245.31
"134","02026","42.246872, -71.179462",23494,2207.83
"135","02745","41.700737, -70.950546",24011,2194.66
"136","02492","42.275776, -71.247350",19917,2166.24
"137","02190","42.165968, -70.952545",15898,2154.61
"138","02420","42.455587, -71.218545",14217,2067.97
"139","01129","42.119062, -72.487401",6931,2019.6
"140","01760","42.284013, -71.348866",31868,2002.33
"141","02382","42.078974, -70.939390",13882,1988.74
"142","01754","42.425955, -71.456256",10433,1939.72
"143","01844","42.742751, -71.178588",43873,1938.11
"144","01803","42.503227, -71.201713",22876,1925.48
"145","02763","41.966866, -71.308574",2339,1908.89
"146","01832","42.791114, -71.132859",21223,1837.71
"147","02186","42.241589, -71.082651",26062,1836.22
"148","01863","42.632718, -71.393511",8511,1823.08
"149","01923","42.574174, -70.950516",25212,1815.77
"150","01757","42.155792, -71.518417",26961,1793.6
"151","01701","42.321522, -71.437663",31124,1761.61
"152","01040","42.211656, -72.642448",39838,1753.24
"153","01089","42.125451, -72.649734",27899,1742.89
"154","02370","42.130399, -70.910615",17670,1732.37
"155","01835","42.751157, -71.094242",13416,1719.99
"156","02421","42.438547, -71.239573",16165,1705.09
"157","01950","42.803940, -70.877480",18268,1704.26
"158","01821","42.551128, -71.252331",29408,1688.76
"159","01830","42.796313, -71.053436",24330,1667.53
"160","02072","42.119006, -71.103650",27149,1657.27
"161","01752","42.349617, -71.547214",36255,1641.85
"162","01106","42.045695, -72.563323",15882,1631.02
"163","01749","42.389071, -71.545864",18113,1526.89
"164","02703","41.931557, -71.295859",42068,1508.61
"165","01545","42.284767, -71.714228",31665,1506.81
"166","02601","41.662007, -70.294734",16010,1502.79
"167","02032","42.156882, -71.216187",3842,1502.28
"168","02343","42.148913, -71.003737",10738,1486.21
"169","01242","42.336153, -73.245919",114,1462.88
"170","02780","41.909112, -71.118346",49443,1451.55
"171","02351","42.121392, -70.957757",14605,1440.35
"172","01438","42.563966, -72.034438",137,1427.65
"173","01420","42.601979, -71.815876",39100,1425.13
"174","01060","42.324994, -72.634359",16274,1401.1
"175","02760","41.972493, -71.335208",24808,1375.6
"176","01876","42.611801, -71.227571",28464,1370.42
"177","01824","42.590790, -71.355182",25359,1363.69
"178","02558","41.749278, -70.657079",1819,1361.37
"179","01826","42.679723, -71.300680",28562,1339.19
"180","01001","42.064520, -72.630030",16576,1332.42
"181","02632","41.661469, -70.347567",11341,1304.55
"182","02664","41.674727, -70.195648",9808,1303.13
"183","02719","41.641397, -70.872963",16159,1295.79
"184","01453","42.520815, -71.768535",41410,1290.16
"185","02090","42.219645, -71.216769",14087,1289.89
"186","01887","42.559724, -71.166391",21319,1279.26
"187","01913","42.851133, -70.954835",16450,1252.98
"188","02639","41.663638, -70.136153",3273,1157.04
"189","01721","42.257755, -71.473526",14674,1138.41
"190","01930","42.631143, -70.687210",30273,1125.16
"191","02725","41.722263, -71.178380",2665,1103.52
"192","01862","42.578543, -71.295592",9960,1097.69
"193","02038","42.084858, -71.410571",29560,1097.62
"194","01940","42.534118, -71.038574",11542,1096.34
"195","02048","42.017300, -71.217300",22410,1095.3
"196","01570","42.047075, -71.845805",15659,1092.01
"197","01747","42.124080, -71.533416",5745,1084.56
"198","01028","42.059614, -72.501234",14137,1082.8
"199","01966","42.653892, -70.621432",7767,1082.08
"200","02053","42.155816, -71.432781",12448,1080.6
"201","02644","41.683488, -70.510786",3823,1079.77
"202","01030","42.072925, -72.686972",11568,1049.73
"203","02081","42.148344, -71.258667",18008,1042.73
"204","02021","42.175737, -71.125385",20615,1042.4
"205","02066","42.199718, -70.762260",17359,1005.65
"206","01845","42.673909, -71.091334",27202,992.17
"207","01864","42.581808, -71.092178",13881,989.98
"208","01080","42.172472, -72.377153",2627,981.97
"209","01720","42.483953, -71.438495",19828,979.41
"210","01810","42.648044, -71.161751",31247,975.4
"211","02673","41.658773, -70.242097",8340,972.48
"212","01501","42.198708, -71.846006",15829,966.26
"213","02322","42.132400, -71.053930",4443,965.72
"214","02356","42.060485, -71.124970",12504,965.28
"215","01075","42.256354, -72.580751",17226,963.8
"216","01730","42.499334, -71.281906",12566,926.37
"217","01588","42.116073, -71.666533",8497,899.74
"218","02324","41.972387, -70.978778",25190,888.94
"219","02043","42.215977, -70.885763",19882,876.46
"220","02339","42.122956, -70.856310",13164,839.26
"221","02556","41.639445, -70.624515",3365,838.59
"222","02052","42.184599, -71.305307",12273,837.74
"223","02050","42.113471, -70.714072",24828,834.02
"224","01550","42.059669, -72.034040",17214,829.49
"225","01440","42.586516, -71.988062",21130,823
"226","01778","42.360223, -71.360578",13200,819.52
"227","02019","42.076682, -71.474490",15314,804.4
"228","01581","42.269822, -71.613863",18004,800.5
"229","02661","41.676348, -70.039690",6,787.74
"230","01527","42.192246, -71.777649",12784,786.89
"231","01504","42.039991, -71.532406",8804,786.51
"232","01532","42.324534, -71.648889",14006,785.89
"233","02540","41.569449, -70.627173",8884,781.55
"234","02660","41.714009, -70.152214",7319,780.22
"235","02532","41.764135, -70.581863",14873,779.79
"236","02035","42.063347, -71.246364",16246,775.28
"237","01056","42.188865, -72.459078",21172,768.14
"238","01560","42.175395, -71.674223",2807,763.52
"239","02670","41.660113, -70.170678",1653,759.38
"240","02563","41.728137, -70.476549",10844,758.07
"241","02210","42.347682, -71.041731",592,757.88
"242","02359","42.067608, -70.800053",16927,744.91
"243","01745","42.288947, -71.506538",444,744.64
"244","02333","42.037287, -70.940459",12974,743.32
"245","02559","41.690243, -70.616283",3158,736.13
"246","02067","42.108463, -71.185182",17389,735.58
"247","01536","42.229917, -71.696798",6380,726.51
"248","02771","41.837751, -71.320428",13425,726.43
"249","01746","42.195951, -71.453430",13801,724.49
"250","02675","41.703990, -70.234638",6792,717.04
"251","02025","42.236423, -70.814436",7261,709.34
"252","02671","41.668250, -70.112822",999,708.81
"253","01860","42.838603, -71.011997",6138,708.78
"254","02648","41.667728, -70.416738",7545,698.09
"255","02056","42.113656, -71.334162",10460,686.3
"256","01776","42.382673, -71.424123",16845,683.63
"257","02777","41.758175, -71.214202",15979,682.24
"258","02536","41.596976, -70.567877",19623,679.89
"259","02571","41.757831, -70.706114",10301,673.52
"260","01520","42.334261, -71.854238",12642,673.4
"261","01834","42.757786, -71.015117",6038,671.08
"262","02538","41.776360, -70.648923",2988,670.76
"263","02762","42.012209, -71.338091",7683,668.07
"264","01301","42.626761, -72.601530",18482,667.07
"265","02493","42.360502, -71.303433",11469,664.03
"266","01886","42.585295, -71.439826",20754,663.95
"267","02071","42.106285, -71.269335",993,659.81
"268","02646","41.670596, -70.071449",1908,656.49
"269","01742","42.462911, -71.364496",17076,656.11
"270","01432","42.554678, -71.582654",8042,654.3
"271","01201","42.458240, -73.283144",47623,647.56
"272","02054","42.172551, -71.362811",7902,645.44
"273","01085","42.155792, -72.772912",40729,643.66
"274","01002","42.376821, -72.467874",36794,639.17
"275","02364","41.987302, -70.749212",11780,631.58
"276","02635","41.625684, -70.441087",3313,626.72
"277","02766","41.957441, -71.179067",18036,626.11
"278","02718","41.862486, -71.011690",6726,621.66
"279","02341","42.050330, -70.867152",9424,619.71
"280","02650","41.701807, -69.963804",1005,613.65
"281","01062","42.328314, -72.703923",11225,613.43
"282","01879","42.667762, -71.428820",11072,611.5
"283","02375","42.003041, -71.076928",9795,600.44
"284","02332","42.044373, -70.706115",14248,598.23
"285","02360","41.885289, -70.616158",51558,598.18
"286","01611","42.237604, -71.875838",2365,594.76
"287","01095","42.127327, -72.427404",13650,577.33
"288","02655","41.632846, -70.390711",4088,577.19
"289","02638","41.733305, -70.190740",3862,571.1
"290","01944","42.578746, -70.769598",5228,563.62
"291","01833","42.726772, -70.974422",7377,560.27
"292","01982","42.626223, -70.857230",8315,557.6
"293","01772","42.302877, -71.530828",8337,555.54
"294","01529","42.036642, -71.578779",2724,550.82
"295","01540","42.119514, -71.858817",11366,544.47
"296","01984","42.600595, -70.883406",4440,543.21
"297","02743","41.718217, -70.901151",10101,539.97
"298","01949","42.609661, -71.006100",7744,536.19
"299","01519","42.199428, -71.671955",5712,533.11
"300","02645","41.701553, -70.061207",9466,532.54
"301","01534","42.151614, -71.666920",4742,519.42
"302","01952","42.849908, -70.860836",7827,502.2
"303","02649","41.621476, -70.490935",12951,498.6
"304","01571","42.053778, -71.935075",10792,496.05
"305","02748","41.553574, -70.971135",11326,495.45
"306","02672","41.635751, -70.318777",248,494.98
"307","02630","41.701140, -70.303238",1909,484.87
"308","02659","41.685513, -70.022024",1173,484.21
"309","02767","41.937929, -71.054394",11551,483.58
"310","01463","42.670643, -71.602858",11142,479.96
"311","01983","42.641379, -70.943440",6141,478.24
"312","01748","42.224086, -71.540494",13346,474.95
"313","01022","42.197741, -72.542713",2331,474.17
"314","02537","41.728423, -70.435818",5924,472.42
"315","01719","42.485985, -71.520985",4868,467.79
"316","01460","42.535931, -71.490569",8180,466.51
"317","01542","42.204251, -71.908907",2020,464.68
"318","02543","41.531991, -70.658599",785,462.7
"319","02061","42.164569, -70.818844",9765,462.65
"320","01583","42.374650, -71.786281",6226,461.52
"321","02093","42.052671, -71.356858",10554,460.78
"322","02747","41.658000, -71.013460",19419,454.46
"323","02338","42.003513, -70.863334",7571,440.77
"324","02379","42.021617, -71.026717",6629,421.15
"325","02631","41.747016, -70.068779",9954,408.72
"326","01027","42.295007, -72.751864",17489,406.76
"327","01376","42.620976, -72.525899",6488,392.54
"328","01938","42.685660, -70.845521",12987,385.41
"329","02633","41.677948, -69.959781",4291,383.14
"330","02642","41.841331, -69.977436",5453,379.9
"331","02739","41.668423, -70.818141",6268,378.81
"332","01569","42.055892, -71.631294",11080,376.23
"333","01464","42.573654, -71.640986",6373,375.29
"334","01524","42.248129, -71.917860",6135,373.2
"335","02738","41.709470, -70.767483",5123,365.82
"336","01773","42.425506, -71.310812",5152,359.11
"337","02030","42.234129, -71.283463",5558,358.13
"338","01562","42.248575, -71.993130",11691,348.93
"339","02657","42.062300, -70.199307",3431,348.43
"340","02653","41.762333, -69.972054",6354,346.54
"341","02779","41.838061, -71.077615",5744,346.31
"342","02330","41.873995, -70.769883",11154,344.76
"343","01462","42.582607, -71.720464",9403,339.63
"344","01069","42.187794, -72.308469",9884,333.91
"345","01775","42.429688, -71.512514",5902,327.03
"346","01922","42.757313, -70.914241",2945,325.8
"347","01921","42.683108, -71.018330",7921,324.29
"348","01537","42.158966, -71.897051",1937,319.14
"349","02764","41.850357, -71.161699",3949,318.89
"350","01053","42.349147, -72.718516",1452,318.32
"351","02576","41.772221, -70.762948",3196,311.01
"352","01969","42.720211, -70.898969",5500,310.9
"353","02534","41.669004, -70.615280",839,308.58
"354","01469","42.662907, -71.679430",6200,307.7
"355","01741","42.536620, -71.361832",4717,304.97
"356","01436","42.606863, -72.086138",3097,304.34
"357","01220","42.617552, -73.119966",9442,299.53
"358","01985","42.799516, -70.964411",4149,298.39
"359","01523","42.476325, -71.681245",7273,298.25
"360","02347","41.834474, -70.957040",9829,294.4
"361","01247","42.685825, -73.071342",17043,293.85
"362","01756","42.094470, -71.544902",5286,291.67
"363","02346","41.878004, -70.869267",19933,285.5
"364","01450","42.611760, -71.565269",9547,284.4
"365","01077","42.052570, -72.777353",8835,279.01
"366","01612","42.296627, -71.929598",4406,275.1
"367","02647","41.631396, -70.308397",115,274.99
"368","01375","42.466753, -72.546835",3776,270.04
"369","01505","42.355049, -71.716157",4008,263.41
"370","01036","42.071188, -72.417718",5134,261.08
"371","01568","42.176526, -71.603588",5637,259.81
"372","01770","42.233570, -71.374690",4200,259.75
"373","01038","42.385496, -72.606930",2558,257.3
"374","01507","42.133935, -71.968025",11263,253.23
"375","01590","42.132051, -71.750318",8244,249.12
"376","01007","42.277659, -72.405468",13017,241.42
"377","01518","42.127842, -72.119198",2254,240.96
"378","02790","41.592475, -71.085498",14649,234.21
"379","01475","42.667189, -72.046009",9586,232.79
"380","01474","42.669197, -71.745843",2998,231.48
"381","01564","42.447924, -71.776045",7257,231.18
"382","01929","42.631892, -70.779478",3267,229.17
"383","01082","42.293533, -72.278599",9961,228.47
"384","01331","42.570269, -72.182965",12922,225.71
"385","02715","41.815051, -71.157549",2226,225.69
"386","02568","41.433705, -70.655483",9551,225.08
"387","01535","42.267564, -72.066876",4683,223.73
"388","02702","41.780396, -71.049390",4084,220.05
"389","01451","42.503872, -71.578126",5000,215.99
"390","02358","41.805376, -70.627840",4,215.74
"391","02668","41.710853, -70.362696",3125,215.19
"392","02366","41.856419, -70.652397",126,215.07
"393","01033","42.244958, -72.500034",6139,214.88
"394","02769","41.846963, -71.244503",10110,212.96
"395","01035","42.356482, -72.568576",4793,212.07
"396","01515","42.209682, -72.040178",2097,210.4
"397","01951","42.779378, -70.859637",2693,208.7
"398","01740","42.439937, -71.601876",4148,206.34
"399","01364","42.601134, -72.295516",7583,205.71
"400","02717","41.748162, -70.984925",4400,203.89
"401","01073","42.226949, -72.741588",5387,198.66
"402","02669","41.666646, -69.989702",156,193.64
"403","01236","42.274122, -73.363467",2135,193.53
"404","01566","42.103214, -72.079545",5583,192.68
"405","02554","41.278764, -70.075644",9520,192.64
"406","01240","42.367862, -73.269768",5170,191.96
"407","01506","42.181793, -72.107473",3051,191.62
"408","01521","42.046798, -72.180149",2405,188.13
"409","01516","42.053072, -71.752242",7070,187.08
"410","01473","42.554600, -71.905440",6904,186.49
"411","01222","42.062743, -73.317498",853,186.34
"412","01585","42.239641, -72.166925",5617,185.5
"413","01057","42.093596, -72.321494",8257,183.48
"414","01503","42.384929, -71.633889",2380,182.86
"415","01522","42.375634, -71.867382",2959,178.88
"416","01092","42.205423, -72.238171",1087,178.44
"417","01349","42.571518, -72.493983",1613,177.14
"418","02367","41.959100, -70.802753",2637,174.42
"419","01083","42.221739, -72.218842",2285,171.19
"420","01827","42.676078, -71.500517",2826,169.29
"421","01543","42.388977, -71.970514",6353,168.9
"422","02652","42.041208, -70.089735",1360,161.54
"423","01262","42.280297, -73.307639",817,155.95
"424","01468","42.542767, -72.068345",3228,151.1
"425","01267","42.671616, -73.246981",8738,147.14
"426","01373","42.460058, -72.630922",5309,145.52
"427","01430","42.673109, -71.920260",5554,140.34
"428","02539","41.376928, -70.539683",3776,136.52
"429","01226","42.500999, -73.089021",7865,135.23
"430","02667","41.927730, -70.016625",2752,133.39
"431","01039","42.387158, -72.700088",1128,133.27
"432","01467","42.484923, -71.625537",230,128.78
"433","02770","41.759846, -70.838449",4391,128.27
"434","01225","42.559641, -73.162407",2768,126.85
"435","01005","42.418885, -72.112954",5077,119.06
"436","01431","42.676293, -71.832523",2845,117.79
"437","01351","42.539880, -72.521689",2349,117.22
"438","01081","42.061313, -72.234411",1641,117.09
"439","01031","42.339700, -72.200510",1263,116.4
"440","01238","42.293624, -73.214900",6416,112.48
"441","01088","42.393142, -72.645548",612,111.16
"442","02575","41.381496, -70.659642",399,106.18
"443","02542","41.693495, -70.537843",1582,99.9
"444","01541","42.454125, -71.877540",3353,94.58
"445","01010","42.129477, -72.205302",3348,94.53
"446","01071","42.160060, -72.873853",1654,93.36
"447","01452","42.489598, -72.002878",3909,89.39
"448","01360","42.677091, -72.453876",2951,87.14
"449","01370","42.593338, -72.726941",4432,87.1
"450","01230","42.172941, -73.324463",9157,85.2
"451","01068","42.353887, -72.060685",1716,81.28
"452","01254","42.375021, -73.363093",1030,80.3
"453","01338","42.575888, -72.806648",51,73.5
"454","01337","42.689307, -72.582249",2619,72.96
"455","01072","42.456968, -72.417244",1458,68.46
"456","01096","42.409885, -72.774099",2623,68.34
"457","01266","42.309224, -73.376752",1742,66.23
"458","01054","42.469588, -72.484502",1444,65.83
"459","01342","42.546117, -72.607204",1014,64.03
"460","01344","42.613418, -72.426427",871,64
"461","01257","42.098415, -73.378426",2290,60.87
"462","01235","42.430620, -73.064073",2536,60.5
"463","01237","42.555658, -73.243027",2450,59.74
"464","01050","42.294669, -72.890125",2404,59.21
"465","02666","41.990779, -70.045721",724,58.31
"466","01341","42.504432, -72.701760",1738,49.32
"467","01531","42.324499, -72.113909",913,45.29
"468","01330","42.513947, -72.821517",1590,43.93
"469","01026","42.465495, -72.918267",1031,42.2
"470","01029","42.193435, -73.041961",572,40.58
"471","01340","42.685953, -72.721000",1880,40.3
"472","01253","42.197448, -73.096312",692,39.4
"473","01098","42.397559, -72.943392",1235,38.68
"474","01011","42.293933, -72.993099",2069,36.15
"475","01037","42.372728, -72.195412",710,36.03
"476","01379","42.534508, -72.415384",891,33.9
"477","01259","42.070679, -73.247301",559,32.78
"478","01245","42.187320, -73.210154",956,32.75
"479","01346","42.660040, -72.819982",290,32.22
"480","01012","42.375425, -72.858192",523,31.69
"481","01032","42.457613, -72.814780",212,31.09
"482","01070","42.520343, -72.926670",566,29.14
"483","01339","42.626342, -72.878315",1973,28.95
"484","01223","42.340966, -73.120673",1715,28.37
"485","01368","42.679456, -72.176935",1251,27.79
"486","01034","42.098207, -72.961272",1926,26.05
"487","01008","42.192222, -72.964379",1235,23.75
"488","01366","42.475426, -72.211701",1171,22.02
"489","01378","42.666871, -72.345995",750,19.98
"490","01264","42.228069, -73.194248",234,19.43
"491","02535","41.341585, -70.796008",1205,19.2
"492","01256","42.594166, -73.022320",705,18.99
"493","01355","42.458522, -72.327219",873,18.65
"494","01084","42.361743, -72.874988",147,18.56
"495","01255","42.102899, -73.125990",752,15.98
"496","01380","42.586998, -72.392870",90,15.41
"497","01367","42.695532, -72.909148",361,14.76
"498","02713","41.432882, -70.873822",56,10.74
"499","01350","42.727772, -72.985346",93,8.65
"500","01258","42.090924, -73.470197",130,5.81
